shift,flavor,cos_zen,depth,a,b,x1,k1,c
m2,e,0.0,1.4,0.1,1.4847384261128795,0.1,0.63286553409782,0.08275588243529738
base,e,0.0,2.0,27.150855165446202,2.17248358445547,44.274988342200025,0.8446754460225565,0.21028126352595036
p2,e,0.0,2.0,47232.84248199993,2.17248358445547,64338.178333564225,0.8446754460225565,0.21028126352595036
m2,e,0.0,2.0,0.1,2.17248358445547,0.1,0.8446754460225565,0.21028126352595036
base,e,0.0,2.1,9.802537664706675,2.3063278764339405,68.08959285332355,0.4760856232445801,0.06417936477127568
p2,e,0.0,2.1,36.30851070981838,2.3063278764339405,583.9521185502356,0.4760856232445801,0.06417936477127568
m2,e,0.0,2.1,1.8507457511731635,2.3063278764339405,0.1,0.4760856232445801,0.06417936477127568
base,e,0.2,1.4,9.801668015444632,1.891663990253761,109.15333282670733,0.6923233835042774,0.06529432970029954
p2,e,0.2,1.4,81.29401514006652,1.891663990253761,1905.66771810753,0.6923233835042774,0.06529432970029954
m2,e,0.2,1.4,0.1,1.891663990253761,0.1,0.6923233835042774,0.06529432970029954
base,e,0.2,2.0,10.542445867885148,2.139635583539658,106.2528801919042,0.49572533476114133,0.05921350820013424
p2,e,0.2,2.0,85.49093455127475,2.139635583539658,2012.7653416546948,0.49572533476114133,0.05921350820013424
m2,e,0.2,2.0,0.1,2.139635583539658,0.1,0.49572533476114133,0.05921350820013424
base,e,0.2,2.1,8.284242584977749,2.108484983949424,74.44354107400126,0.5436997063775795,0.06428655909948251
p2,e,0.2,2.1,52.009729073144776,2.108484983949424,923.3656222641391,0.5436997063775795,0.06428655909948251
m2,e,0.2,2.1,0.1,2.108484983949424,0.1,0.5436997063775795,0.06428655909948251
base,e,0.4,1.4,45.85675682839919,2.3228923502043255,11.007871035485977,1.6661408341398931,0.3968625947740786
p2,e,0.4,1.4,847.6650250054953,2.3228923502043255,134.8732219101215,1.6661408341398931,0.3968625947740786
m2,e,0.4,1.4,0.1,2.3228923502043255,0.1,1.6661408341398931,0.3
base,e,0.4,2.0,20.73228820072201,1.5087596091785416,14.036297704716972,2.488032274638306,0.26729737224435324
p2,e,0.4,2.0,1926.6386041071928,1.5087596091785416,870.1567272813821,2.488032274638306,0.26729737224435324
m2,e,0.4,2.0,0.1,1.5087596091785416,0.1,2.488032274638306,0.26729737224435324
base,e,0.4,2.1,9.4059321311592,0.9936344198498365,57.56672696327423,2.73168971254984,0.18154536571746135
p2,e,0.4,2.1,1910.6803529641813,0.9936344198498365,8629.093608876221,2.73168971254984,0.18154536571746135
m2,e,0.4,2.1,0.1,0.9936344198498365,0.1,2.73168971254984,0.18154536571746135
base,e,0.6,1.4,6.861487568595799,1.4501112814221597,94.7933504631489,1.420781135983089,0.07973701558031596
p2,e,0.6,1.4,221.12373395588523,1.4501112814221597,5981.349472963637,1.420781135983089,0.07973701558031596
m2,e,0.6,1.4,0.1,1.4501112814221597,0.1,1.420781135983089,0.07973701558031596
base,e,0.6,2.0,4.575605293430199,0.9286825506397309,796.0336610774491,0.2914297411855091,0.05727808959418948
p2,e,0.6,2.0,108.04586948544843,0.9286825506397309,12570.384123456124,0.2914297411855091,0.05727808959418948
m2,e,0.6,2.0,0.1,0.9286825506397309,0.1,0.2914297411855091,0.05727808959418948
base,e,0.6,2.1,4.660814575007687,0.7250750523788297,804.234466111397,0.3356024408633632,0.07252007506118638
p2,e,0.6,2.1,139.98111487490814,0.7250750523788297,15727.832682144855,0.3356024408633632,0.07252007506118638
m2,e,0.6,2.1,0.1,0.7250750523788297,0.1,0.3356024408633632,0.07252007506118638
base,e,0.8,1.4,5.008285754256612,1.356189892910815,509.3158531427968,0.5655287740893384,0.03883041837075574
p2,e,0.8,1.4,78.45313731301096,1.356189892910815,10366.54901762707,0.5655287740893384,0.03883041837075574
m2,e,0.8,1.4,0.1,1.356189892910815,0.1,0.5655287740893384,0.03883041837075574
base,e,0.8,2.0,528.2708614587989,1.389372283020069,161.68410966137273,1.500173788745287,0.4540703622190926
p2,e,0.8,2.0,817462.4013497479,1.389372283020069,17163.817887587218,1.500173788745287,0.4540703622190926
m2,e,0.8,2.0,0.1,1.389372283020069,0.1,1.500173788745287,0.3
base,e,0.8,2.1,1343.9593653591542,0.9897545317078125,135.36841348765498,2.89856480688096,0.4936581300893618
p2,e,0.8,2.1,16869916.698488273,0.9897545317078125,249880.25936128944,2.89856480688096,0.4936581300893618
m2,e,0.8,2.1,0.1,0.9897545317078125,0.1,2.89856480688096,0.3
p1,e,0.0,1.4,15.339696517779602,1.4847384261128795,351.68163622269924,0.63286553409782,0.08275588243529738
m1,e,0.0,1.4,4.209283123068618,1.4847384261128795,66.82760845652874,0.63286553409782,0.08275588243529738
p1,e,0.0,2.0,14188.858343215788,2.17248358445547,19332.445991908808,0.8446754460225565,0.21028126352595036
m1,e,0.0,2.0,0.1,2.17248358445547,0.1,0.8446754460225565,0.21028126352595036
p1,e,0.0,2.1,17.754329578240185,2.3063278764339405,222.84835056239717,0.4760856232445801,0.06417936477127568
m1,e,0.0,2.1,7.151940360195504,2.3063278764339405,16.503340283632348,0.4760856232445801,0.06417936477127568
p1,e,0.2,1.4,31.2493721528312,1.891663990253761,648.1076484109541,0.6923233835042774,0.06529432970029954
m1,e,0.2,1.4,2.652433302982443,1.891663990253761,0.1,0.6923233835042774,0.06529432970029954
